TTDDRUGID	LNM	Indication	ICD9	ICD10
DNC000639	Fasidotril	Hypotension	458, 796.3	I95
DNC000646	Fibrates	Dyslipidemia	272	E78
DNC000648	Fipamezole	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DNC000650	FK-706	Pulmonary emphysema	.	J43
DNC000659	FR139317	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DNC000660	FR149175	Diabetes mellitus type 2	250	E11
DNC000667	G3139	Prostate cancer	.	.
DNC000671	Gabexate	Pancreatitis	577.0-577.1	K85, K86.0K86.1
DNC000678	Gavestinel	Nerve injury	.	T14.4
DNC000684	GEM 231	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC000685	Gemopatrilat	Hypotension	458, 796.3	I95
DNC000689	GHRP-2	Growth hormone deficiency	253.0, 253.3	E22.0, E23.0
DNC000695	Glucose analogue	P. falciparum infection	84	B50-B54
DNC000696	Glycopeptides	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC000698	Glyphosate	Malaria	84	B50-B54
DNC000701	Gossypol	Prostate tumor	185	C61
DNC000707	GTS-21	Parkinson's disease	332	F02.3, G20
DNC000712	GV-150013	Anxiety disorder	300, 311	F32, F40-F42
DNC000713	GW1843	Biliary cancer	.	C22,C24
DNC000728	Herceptin	Breast cancer	.	.
DNC000735	HKI-9924129	Gram-negative bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC000742	HR325	Rheumatold arthritis	714	M05-M06
DNC000745	HTF 919	Constipation	.	.
DNC000749	Huperzine A	Alzheimer's disease	.	.
DNC000749	Huperzine A	Epileptic seizures	345.9, 780.3	G40, P90, R56
DNC000750	Hydroquinone	Melasma	.	L81.1
DNC000751	Hydroxamates	P. falciparum infection	84	B50-B54
DNC000763	Ia Quinidine	Atrial fibrillation; Pain	338, 427.31,780	I48, R52, G89
DNC000764	IB-MECA	Cancer	140-229	C00-C96
DNC000766	Ic Flecainide	Atrial fibrillation; Pain	338, 427.31,780	I48, R52, G89
DNC000779	Ifenprodil	Cancer pain	.	.
DNC000779	Ifenprodil	Cancer pain	140-229, 338,780	C00-C96, R52, G89
DNC000782	Igmesine	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DNC000787	IMC-1C11	Cancer	140-229	C00-C96
DNC000788	IMC-C225	Colorectal cancer	.	.
DNC000792	Immucillin-H	Psoriasis	696	L40
DNC000794	Incadronate	Hypercalcemia	275.42	E83.5
DNC000798	Indole N -acetamide	Hepacivirus infections	070.4, 070.5, 070.70	B17.1, B18.2
DNC000800	Insulin Lispro	Diabetes mellitus	.	.
DNC000807	Ipsapirone	Anxiety disorder	300, 311	F32, F40-F42
DNC000810	ISIS 107248	Multiple sclerosis	340	G35
DNC000813	ISIS 5132	Colorectal cancer	153, 154	C18-C21
DNC000826	JB-1	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC000827	JM216	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC000828	JTC-801	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC000829	JTV-605	Dysmenorrhea	625.3	N94.4-N94.6
DNC000832	JZP-4	Convulsions	780.3	R56.0
DNC000833	Ki23819	Cancer	140-229	C00-C96
DNC000835	KMD-3213	Benign prostatic hyperplasia	.	.
DNC000842	L-054852	Acromegaly	253	E22.0
DNC000845	L-364,718	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC000847	L-374,087	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
DNC000854	L-694,458	Cystic fibrosis	277.0, 709.2	E84, L90.5
DNC000855	L-697,661	Human immunodeficiency virus infection	279.3	D84.9
DNC000859	L-745,870	Psychotic disorders	290-299	F20-F29
DNC000860	Lactoferrin	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC000865	LBH539	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC000872	Leupeptin	Malaria	84	B50-B54
DNC000873	Levalbuterol	Asthma	.	.
DNC000874	Levcromakalim	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DNC000875	Lexipafant	Nerve injury	.	T14.4
DNC000877	Licostinel	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
DNC000889	Lorglumide	Pancreatic disorders	.	K86.9
DNC000894	LU302146	Pulmonary hypertension	416	I27.0, I27.2
DNC000903	LY288513	Anxiety disorder	300, 311	F32, F40-F42
DNC000905	LY309887	Cancer	140-229	C00-C96
DNC000906	LY333531	Cancer	140-229	C00-C96
DNC000911	M100907	Sleep disorders	307.4, 327, 780.5	F51, G47
DNC000915	Maribavir	Cytomegalovirus	78.5	B25.8, H30.9
DNC000918	MDL 101,731	Gastric cancer	140-229, 151, 188	C00-C96, C16, C67
DNC000922	Melanocortin-4 Receptor antagonist	Anorexia nervosa cachexia	307.1, 799.4	F50.0-F50.1, R64
DNC000924	MEN13510	Asthma	493	J45
DNC000928	Metastat	Acne vulgaris	706.1	L70.0
DNC000930	Metazosin	Cardiotonic	.	I50
DNC000931	Met-enkephalin	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC000944	MGBG	Head and neck cancer	140-149, 140-229	C00-C96, C07-C14, C32-C33
DNC000946	Microxine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC000949	Minodronate	Osteoporosis	.	.
DNC000950	Mivazerol	Angina pectoris	413	I20
DNC000952	MK-869	Depression	311	F32
DNC000953	MK-886	Asthma	493	J45
DNC000958	Morphine-6-glucuronide	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC000960	MR-889	Mucolytic	.	J00-J99
DNC000965	MT-500	Migraine	346	G43
DNC000967	MTII Melanotan-II	Female sexual dysfunction	302.7	F52, R37
DNC000968	Mu O-conotoxin	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC000972	Mutated growth hormone	Acromegaly	253	E22.0
DNC000983	Nafamostat	Pancreatitis	577.0-577.1	K85, K86.0K86.1
DNC000992	Naproxene	Pain; Endometriosis	338, 617.0,780	N80, R52, G89
DNC000993	NAX-5055	Epileptic seizures	345.9, 780.3	G40, P90, R56
DNC000994	NB1011	Breast cancer	174, 175, 217	C50, D24
DNC000995	NB-3040	Gram-positive bacteria infection; Gram-negative bacteria infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC000996	NB3178	Gram-positive bacteria infection; Gram-negative bacteria infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC000997	NB3322	Gram-positive bacteria infection; Gram-negative bacteria infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC000999	NBI-27914	Depression	311	F32
DNC001001	NC1153	Immunotherapy for renal transplantation	279.5	D89.8
DNC001012	NGX-267	Schizophrenia	295, 710.0	F20, M32
DNC001020	NIP-142	Atrial fibrillation	272, 427.31	E78, I48
DNC001021	Niravoline	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001037	Nordihydroguaiaretic acid	Cancer	140-229	C00-C96
DNC001040	NP12	Alzheimer's disease	331.0, 331.83	G30, G31.84
DNC001042	NPS 568	Hyperproliferative skin disorders	.	L00-L99
DNC001043	NPY-1 antagonist	Eating disorders reduction in food intake obesity anxiety	307.5	F50
DNC001044	RJW-57926	Eating disorder; Obesity	278, 307.5	E66, F50
DNC001045	NS398	Pain; Endometriosis	338, 617.0,780	N80, R52, G89
DNC001047	NSAIDs	Pain; Endometriosis	338, 617.0,780	N80, R52, G89
DNC001051	Nuvance	Acquired immunodeficiency syndrome	.	B20-B24
DNC001052	NVP-ADW742	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001058	Olprinone	Heart failure	.	.
DNC001061	ONO-6818	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DNC001062	OPC-21268	Cardiotonic	.	I50
DNC001063	OPC-31260	Hyponatraemia	.	.
DNC001068	Otenzepad	Heart failure	410, 428	I21, I22, I50
DNC001069	Otilonium bromide	Gastric motility disorder	.	K22.4
DNC001071	Oxazolidinones	Gram-negative bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001078	Oxindole derivative	Malaria	84	B50-B54
DNC001087	P32/98	Autism	299	F84.0
DNC001088	PA-824	Mycobacterium tuberculosis infection	.	A15-A19
DNC001094	PCG1	Obesity	278	E66
DNC001107	PDGF gene therapy	Diabetic foot ulcer	707	L88-L89
DNC001108	Penfluridol	Schizophrenia	295, 710.0	F20, M32
DNC001109	Penicillin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001110	Pepstatin	Malaria	84	B50-B54
DNC001117	Phenacetin	Analgesic	.	.
DNC001122	Piboserod	Atrial fibrillation	272, 427.31	E78, I48
DNC001131	PKI166	Esophageal cancer	140-229, 150	C00-C96, C15
DNC001138	PNU156804	Immunotherapy for renal transplantation	279.5	D89.8
DNC001139	Podophyllotoxin	Condyloma	.	A51.3
DNC001141	Ponalrestat	Gout	274.00274.1274.8274.9	M10
DNC001146	Prasterone	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DNC001156	PS-1145	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001157	PS-341	Mantle-cell lymphoma	.	.
DNC001158	PS-519	Ischemia-reperfusion injury	.	I00-I99
DNC001162	Pumiliotoxin 251D	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001170	Pyridobenzimidazole	Fungal diseases	110-118	B35-B49
DNC001183	Quinelorane	Male sexual disorders	.	F52
DNC001187	R 80122	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DNC001188	R0-93877	Constipation	.	.
DNC001189	R121919	Depression	311	F32
DNC001191	R-68151	Psoriasis	696	L40
DNC001194	Raclopride	Psychotic disorders	290-299	F20-F29
DNC001197	Rapamycin	Coronary artery restenosis	.	.
DNC001197	Rapamycin	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001200	Rebamipide	Peptic ulcer	531-534	K25-K27
DNC001201	REC2615	Female sexual dysfunction	302.7	F52, R37
DNC001212	Rifalazil	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001213	Rilpivirine	Human immunodeficiency virus infection	279.3	D84.9
DNC001217	Ritanserin	Anxiety disorder	300, 311	F32, F40-F42
DNC001218	RJR-2403	Cognition disorders	295	F20
DNC001219	Ro 20-1724	Asthma	493	J45
DNC001224	Ro-23-9424	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001225	RO-25-6981	Cancer pain	140-229, 338,780	C00-C96, R52, G89
DNC001228	Robalzotan	Anxiety disorder	300, 311	F32, F40-F42
DNC001233	Rotigitine	Parkinson's disease	332	F02.3, G20
DNC001234	Rotigotine	Motor symptoms; Parkinson's disease	332, 335.2	F02.3, G12.2, G20
DNC001236	RS 86	Alzheimer's disease	331.0, 331.83	G30, G31.84
DNC001237	RS-100302	Atrial fibrillation	272, 427.31	E78, I48
DNC001242	RWJ-140998	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001243	RWJ-3981	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001244	RWJ-49815	Fungal diseases	110-118	B35-B49
DNC001245	RWJ-67657	Arthritic	710-719	M00-M25
DNC001255	S-19528	Eating disorders reduction in food intake	307.5	F50
DNC001256	S-20951	Atrial fibrillation	272, 427.31	E78, I48
DNC001258	S-25585	Eating disorders reduction in food intake	307.5	F50
DNC001260	S-5751	Rhinitis	472.0, 477	J00, J30, J31.0
DNC001261	S-8510	Nootropic	.	F00-F99
DNC001262	S-9947	Atrial fibrillation	272, 427.31	E78, I48
DNC001269	SAM486A	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001270	Sampatrilat	Hypotension	458, 796.3	I95
DNC001271	Sant7	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001276	SB 202190	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001286	SB 235699	Psoriasis	696	L40
DNC001288	SB 239063	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001295	SB-207266A	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DNC001298	SB-332235	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DNC001304	Sch 37370	Asthma	493	J45
DNC001306	SCH 50911	Absence seizures	.	.
DNC001309	SCH66336	Lymphoma	202.8, 208.9	C81-C96, C91-C95
DNC001319	Selfotel	Cerebrovascular ischaemia	434.91	I61-I63
DNC001325	SIB-1508Y	Parkinson's disease	332	F02.3, G20
DNC001327	SIB-1553A	Alzheimer's disease	331.0, 331.83	G30, G31.84
DNC001335	SK&F 86002	Rheumatold arthritis	714	M05-M06
DNC001339	SKF 38393	Diabetes mellitus type 2	250	E11
DNC001341	SL65.0155	Parkinson's disease	332	F02.3, G20
DNC001342	SL65.0472	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DNC001344	SM 11044	Asthma	493	J45
DNC001345	SN-38	Cancer	140-229	C00-C96
DNC001346	SN429	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
DNC001354	Somatoprim	Acromegaly	253	E22.0
DNC001358	Spiramycin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001362	Spiroglumide	Stomach disease	.	K30-K31
DNC001363	SPR-210	Diabetic complication	.	E08-E13
DNC001366	SR 120819A	Eating disorder	278, 307.5, 401, 428.0	E66, F50, I10, I11, I12, I13, I15, I50
DNC001368	SR 49059	Hyponatremia	276.1, 428	E87.1, I50
DNC001371	SR141716A	Obesity	.	.
DNC001377	SSR125543A	Depression	311	F32
DNC001378	SSR240600	Urinary incontinence	788.3	N39.3, N39.4, R32
DNC001383	STI571	Acute lymphoblastic leukaemia	.	.
DNC001384	SU10991	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001386	SU5402	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001393	Sulphameth oxazole	P. falciparum infection	84	B50-B54
DNC001394	SUN N4057	Coronary artery disease	410-414, 429.2	I20-I25
DNC001396	SWR-0342SA	Obesity	278	E66
DNC001401	T-1106	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DNC001402	T-1249	HIV infections	001-139, 042	A00-B99, B20
DNC001408	Tallimustine	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001410	TAS-103	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001412	TBC 11251 (TBC)	Pulmonary arterial hypertension	.	.
DNC001415	TCV-309	Septic shock	785.52	A41.9
DNC001416	TD-1792	Gram-positive infections	.	A36.9
DNC001417	TD-5108	Gastroparesis	536.3	K31.8
DNC001419	Telaprevir	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DNC001420	Telavancin	Staphylococcus aureus infection	001-139	A00-B99
DNC001422	Telomestatin	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001423	Tepoxalin	Asthma	493	J45
DNC001431	Thiazolidinedione	Alzheimer's disease	331.0, 331.83	G30, G31.84
DNC001434	Thiolactomycin	Malaria	84	B50-B54
DNC001435	Thioperamide	Cognitive impairment	331.83	G31.84
DNC001436	Thiophene sulfonamide	Malaria	84	B50-B54
DNC001444	Tiapride	Alcohol use disorders	303	F10.2
DNC001449	Tipifarnib	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001452	TMPyP4	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001453	TNP-470	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001454	Toll-like receptor 4 inhibition	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DNC001455	Tolrestat	Diabetic cataract	.	E10.36,E11.36
DNC001462	Triapine	Nerve injury	.	T14.4
DNC001465	Trichostatin A	Cancers	140-239	C00-C96
DNC001466	Tricyclics	Kinetoplastids	085, 086	B55, B56, B57
DNC001471	Trimidox	Cancer	140-229	C00-C96
DNC001473	Triptolide	Autoimmune diseases	279	D84.9, M35.9
DNC001476	Tubacin	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001479	U 75302	Allergy	995.3	T78.4
DNC001483	UCL-1390	Eating disorder; Epilepsy; Pain	307.5, 338,780	F50, R52, G89
DNC001485	UK 14,304	Glaucoma	365	H40-H42
DNC001486	UK-279,276	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
DNC001488	Ulinastatin	Premature labour	644, 765	O60.1, P07.3
DNC001490	Urapidil	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DNC001491	Uridine	Depression	311	F32
DNC001496	Vinylsulphones	P. falciparum infection	84	B50-B54
DNC001497	Viozan	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DNC001501	Vitamin K3	Prostate cancer	140-229, 185	C00-C96, C61
DNC001502	Vitaxin	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001506	VX-148	Psoriasis	696	L40
DNC001507	VX-497	Hepatitis virus infection	573.3	K75.9
DNC001509	WAY-100635	Eating disorder	278, 307.5, 401, 428.0	E66, F50, I10, I11, I12, I13, I15, I50
DNC001512	WEB 2086	Asthma	493	J45
DNC001513	WL-1001	P. falciparum infection; Trypanosoma	084, 086	B50-B54, B56
DNC001514	Wortmannin	Hematologic malignancies	200-209	C81-C96
DNC001516	WR99210	Plasmodium infection	.	B54
DNC001517	Xolair	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DNC001519	Y-25130	Nausea and vomiting	.	.
DNC001520	Y-27632	Asthma	493	J45
DNC001524	YM 087	Hyponatremia	276.1, 428	E87.1, I50
DNC001527	YM872	Coronary artery disease	410-414, 429.2	I20-I25
DNC001531	Zamifenacin	Urinary incontinence	788.3	N39.3, N39.4, R32
DNC001532	ZD-0892	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DNC001534	ZD2079	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DNC001535	ZD6416	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001536	ZD7114	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DNC001537	ZD-8321	Acute lung injury	.	.
DNC001541	ZM-230487	Asthma	493	J45
DNC001544	Zydis selegiline	Motor symptoms; Parkinson's disease	332, 335.2	F02.3, G12.2, G20
DNC001545	OGX-427 + Paclitaxel	Breast cancer; Ovarian cancer; Bladder cancer; Prostate cancer; Lung cancer	140-229, 162, 183, 188	C00-C96, C33-C34, C56, C67
DNC001546	ISIS 2922 + Ganciclovir	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DNC001547	ISIS 2922 + foscarnet 3' -azido-3'-deoxythymidine 2'-3'-dideoxycytidine	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DNC001548	RBI034 (2-5A antisense compound) + Ribavirin	Upper and lower respiratory tract disease	460-519	J00-J99
DNC001549	G3139 + Paclitaxel	Small-cell lung cancer	162, 202.8, 203.0, 208.9	C33, C34, C81-C96, C90.0, C91-C95
DNC001550	G3139 + Fludarabine	Relapsed acute leukemia	204-208	C91-C95
DNC001551	G3139 + cytarabine (ARA-C)	Relapsed acute leukemia	204-208	C91-C95
DNC001552	G3139 + G-CSF	Relapsed acute leukemia	204-208	C91-C95
DNC001553	G3139 + Dacarbazine	Advanced melanoma	172	C43
DNC001554	G3139 + Thalidomide	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001555	G3139 + Dexamethasone	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DNC001556	G3139 + Irinotecan	Metastatic colorectal cancer	153, 154	C18-C21
DNC001557	Cantide + Cisplatin	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001558	Cantide + 5-FU	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001559	Cantide + adriamycin	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001560	TS antisense + 5-FU	Cancer	140-229	C00-C96
DNC001561	TS antisense + raltitrexed	Cancer	140-229	C00-C96
DNC001562	MCL-1-specific antisense oligonucleotide + Imatinib (STI571)	Systemic mastocytosis	202.6, 757.33	C96.2, Q82.2
DNC001563	MCL-1-specific antisense oligonucleotide + midostaurin(PKC412)	Systemic mastocytosis	202.6, 757.33	C96.2, Q82.2
DNC001564	MCL-1-specific antisense oligonucleotide + nilotinib (AMN107)	Systemic mastocytosis	202.6, 757.33	C96.2, Q82.2
DNC001565	Affinitak + Gemcitabine	Non-small-cell lung carcinoma	162, 208.9	C33, C34, C91-C95
DNC001566	Affinitak + Cisplatin	Non-small-cell lung carcinoma	162, 208.9	C33, C34, C91-C95
DNC001567	QPI-1002	Renal artery disease	.	I70.1
DNC001568	PF-04523655	Diabetic macular edema	250, 362.01, 362.07, 362.53, 782.3	E08-E13, E08.3, E09.3, E10.3, E11.3, E13.3, H35.8, R60.9
DNC001569	PcTx1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001570	APETX2	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001572	A-803467	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001575	CJ 11,974-01	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001576	DUP 697	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001577	Bimetopyrole	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001578	QX-314	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001579	E-2050	Cerebrovascular ischaemia	434.91	I61-I63
DNC001580	SB-221420-A	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001581	NMED-160	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001582	NS-7	Nerve injury	.	T14.4
DNC001583	PD173212	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001584	PD176078	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001585	Ajinomoto 1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001586	Ajinomoto 2	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001587	Ajinomoto 3	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001588	Euro-Celtique 1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001589	Euro-Celtique 2	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001590	Euro-Celtique 3	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001591	Euro-Celtique 4	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001592	Neuromed 2	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001593	Neuromed 5	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001594	Ono 1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001595	Ono 2	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001596	Ono 3	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001597	Parke-Davis 1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001598	Parke-Davis 9	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DNC001601	NOX 2149	Pain; Stress	300, 338,780	F40-F42, R52, G89
DNC001602	NOX 2137a/b	Pain; Stress	300, 338,780	F40-F42, R52, G89
DNC001603	LD201t1	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DNC001604	IGEL1.2	Allergic diseases	995.3	T78.4
DNC001605	D17.4	Myasthenia gravis	358	G70.0
DNC001609	ADR58	Rheumatold arthritis	714	M05-M06
DNC001610	DD7	Septic shock; Myocardial ischaemia-reperfusion injury; Acute respiratory distress syndrome	492, 518.5, 518.82, 785.52	A41.9, J43, J80
DNC001611	ED1	Septic shock; Myocardial ischaemia-reperfusion injury; Acute respiratory distress syndrome	492, 518.5, 518.82, 785.52	A41.9, J43, J80
DNC001612	ED45	Septic shock; Myocardial ischaemia-reperfusion injury; Acute respiratory distress syndrome	492, 518.5, 518.82, 785.52	A41.9, J43, J80
DNC001614	Del 60 tetramer	Cancer immunotherapy	140-229	C00-C96
DNC001615	SE RNA	HIV infections	001-139, 042	A00-B99, B20
DNC001618	Epostane	Termination of early pregnancy	779.6	O04
DNC001627	SL125	Congestive heart failure; Myocardial fibrosis; Hyperaldosteronism	255.1, 425.0, 425.3, 428, 428.0, 709.2	E26, I42.0, I42.5, I50, L90.5
DNC001650	8-OH-DPAT	Parkinson's disease	332	F02.3, G20
DNC001653	MM-111	Breast cancer	174, 175, 217	C50, D24
DNC001657	RWJ-49968	Fungal diseases	110-118	B35-B49
DNC001658	RWJ-61907	Fungal diseases	110-118	B35-B49
DNC001687	ISIS 23722	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DNC001763	ISIS 13920	Cancer	140-229	C00-C96
DNC001796	ISIS 15770	Cancer	140-229	C00-C96
DNC001810	ISIS 1570	Pouchitis	.	K91.8
DNC001823	ISIS 2105	Papillomavirus infections	.	B97.7
DNC001824	ISIS 2922	Cytomegalovirus infections	.	.
DNC002045	ISIS 18078	Cancer	140-229	C00-C96
DNC002096	ISIS 16507	Cancer	140-229	C00-C96
DNC002098	ISIS 16518	Cancer	140-229	C00-C96
DNC002332	A-317920	Attention deficit hyperactivity disorder	314.00, 314.01	F90
DNC002333	A-331440	Obesity	278	E66
DNC002334	Asperlicin	Gastrointestinal disorders	530-558	K20-K64
