TTDTargetID	Target_Name	Indication	ICD9	ICD10
TTDI01597	Lipoxygenase	Arthritic	710-719	M00-M25
TTDI01597	Lipoxygenase	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDI01598	Neutrophil	Rhinitis	472.0, 477	J00, J30, J31.0
TTDI01599	Polyamine	Cancer	140-229	C00-C96
TTDI01600	Nuclear receptor	Arthritic	710-719	M00-M25
TTDI01600	Nuclear receptor	Non-insulin dependent diabetes	.	E11.9
TTDI01601	AdoHcy hydrolase	Arthritic	710-719	M00-M25
TTDI01602	Gap junction protein	Cardiac arrhythmias	427	I47-I49
TTDI01603	Glucosidase	Diabetes	250	E08-E13
TTDI01604	Rhinovirus protein 1	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDI01605	NADPH oxidase	Arthritic	710-719	M00-M25
TTDI01605	NADPH oxidase	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDI01605	NADPH oxidase	Motor neurone disease	335.2	G12.2
TTDI01605	NADPH oxidase	Ocular disease	.	H00-H59
TTDI01606	Nucleoside transporter	Cardiac arrhythmias	427	I47-I49
TTDI01607	Rhinovirus capsid protein	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDI01608	Vesicular monoamine transporter	Amyotrophic lateral sclerosis	335.20, 434.91	G12.2, I61-I63
TTDI01609	Cholesterol transporter	Hyperlipidemia	272.0-272.4	E78
TTDI01610	IgE-regulated calcium channels	Asthma	493	J45
TTDI01611	Prostaglandin synthetase	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDI01612	Ion channel	Arthritis	710-719	M00-M25
TTDI01612	Ion channel	Autoimmune diseases	279	D84.9, M35.9
TTDI01612	Ion channel	Bipolar disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F31, F40-F42
TTDI01612	Ion channel	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDI01612	Ion channel	Chronic obstructive pulmonary disease; Rheumatoid arthritis	460-519, 490-492, 494-496, 710-719, 714	J00-J99, J40-J44, J47, M00-M25, M05-M06
TTDI01612	Ion channel	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
TTDI01612	Ion channel	Coronavirus infection	.	B34.2
TTDI01612	Ion channel	Dengue virus infection	001-139, 042-075, 061	A00-B99, A80-A99, A90, B00-B34
TTDI01612	Ion channel	HIV-1 infections	001-139, 042	A00-B99, B20
TTDI01612	Ion channel	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDI01612	Ion channel	Influenza virus infections	487, 488	J10, J11
TTDI01612	Ion channel	Myocardial infarction	410, 434.91	I21, I22, I61-I63
TTDI01612	Ion channel	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
TTDI01612	Ion channel	Noise induced hearing loss	.	H90-H95
TTDI01612	Ion channel	Respiratory disease	.	J00-J99
TTDI01612	Ion channel	Sickle-cell anemia	280-285	D50-D64
TTDI01613	Splicing factor	Cancer	140-229	C00-C96
TTDI01614	Aminotransferase	Liver disease	570-574	K70-K77
TTDI01615	Plasma protein	Trypanosomiasis	086.5-086	B56-B57
TTDI01616	Fungal enzyme	Fungal infection	110-118	B35-B49
TTDI01617	Chemokine ligand	Asthma	493	J45
TTDI01617	Chemokine ligand	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDI01617	Chemokine ligand	Scar tissue	.	L00-L99
TTDI01618	Voltage-dependent calcium channel	Muscle spasm	.	M62.838
TTDI01618	Voltage-dependent calcium channel	Parkinson's disease	332	F02.3, G20
TTDI01619	Transcription factor	Papillomavirus infections	.	B97.7
TTDI01619	Transcription factor	Viral encephalitis	.	A86
TTDI01621	Retinal isomerase	Restless legs syndrome	.	G25.81
TTDI01622	58-kDa acetaminophen binding protein	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDI01623	Bacterial ribosome	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01623	Bacterial ribosome	Influenza virus infections	487, 488	J10, J11
TTDI01625	Methyltransferase	Cancer	140-229	C00-C96
TTDI01625	Methyltransferase	Leukemia	208.9	C91-C95
TTDI01625	Methyltransferase	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDI01626	Lysosphingolipid receptor	Cancer	140-229	C00-C96
TTDI01627	Rhinovirus capsid	Rhinovirus infection	.	J20.6?
TTDI01628	DNA-directed DNA polymerase	Cancer	140-229	C00-C96
TTDI01629	Enzyme	Acute intermittent (hepatic) porphyria	.	E80.21
TTDI01629	Enzyme	Female genital tract inflammation	.	N73.9
TTDI01629	Enzyme	HIV infections	001-139, 042	A00-B99, B20
TTDI01630	DNA RNA polymerase	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
TTDI01631	Neuropeptide recptor	Type 1 diabetes	250, 250.01	E08-E13, E10
TTDI01632	Ribonuclease	Acute promyelocytic leukemia	205	C92.4
TTDI01632	Ribonuclease	Cancer	140-229	C00-C96
TTDI01632	Ribonuclease	Cervical cancer	140-229, 180	C00-C96, C53
TTDI01632	Ribonuclease	HIV-1 infections	001-139, 042	A00-B99, B20
TTDI01633	Immunoglobulin Fc receptor	Ischemic heart diseases	410-414	I20-I25
TTDI01633	Immunoglobulin Fc receptor	Pemphigus	.	L10.0
TTDI01634	T cell receptor	Multiple sclerosis	340	G35
TTDI01635	Aminopeptidase	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDI01635	Aminopeptidase	Plasmodium falciparum infection	.	B54
TTDI01638	Outer membrane protein	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01638	Outer membrane protein	Haemophilus influenzae prophylaxis	487, 488	J10, J11
TTDI01639	Hydroxylase	Dermatological disease	.	L00-L99
TTDI01639	Hydroxylase	Inflammatory bowel disease	555, 556	K50, K51
TTDI01639	Hydroxylase	Neurodegenerative diseases	330-337	G30-G32
TTDI01640	Hematopoietic cell phosphatase	Cancer	140-229	C00-C96
TTDI01641	Cytochrome P450 3	HIV infections	001-139, 042	A00-B99, B20
TTDI01643	HLA antigen	Autoimmune diseases	279	D84.9, M35.9
TTDI01643	HLA antigen	Breast cancer	174, 175, 217	C50, D24
TTDI01643	HLA antigen	Celiac disease	579	K90.0
TTDI01643	HLA antigen	Infectious disease	001-139	A00-B99
TTDI01643	HLA antigen	Multiple sclerosis	340	G35
TTDI01644	T-cell receptor	Multiple sclerosis	340	G35
TTDI01644	T-cell receptor	Psoriatic disorders	696	L40
TTDI01645	HRV 3C protease	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDI01646	LPS receptor	Septic shock	785.52	A41.9
TTDI01647	Major histocompatibility complex	Acquired immune deficiency syndrome	42	B20
TTDI01647	Major histocompatibility complex	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDI01649	HLA class II antigen	Allergy	995.3	T78.4
TTDI01649	HLA class II antigen	Autoimmune diseases	279	D84.9, M35.9
TTDI01649	HLA class II antigen	Brain injury	.	S09.90
TTDI01649	HLA class II antigen	Cancer	140-229	C00-C96
TTDI01649	HLA class II antigen	Celiac disease	579	K90.0
TTDI01649	HLA class II antigen	HIV infections	001-139, 042	A00-B99, B20
TTDI01649	HLA class II antigen	Influenza virus infections	487, 488	J10, J11
TTDI01649	HLA class II antigen	Insulin dependent diabetes	.	E10
TTDI01649	HLA class II antigen	Leukemia	208.9	C91-C95
TTDI01649	HLA class II antigen	Optic neuritis	.	H46
TTDI01649	HLA class II antigen	Rheumatold arthritis	714	M05-M06
TTDI01649	HLA class II antigen	Uveitis	364	H20
TTDI01650	Receptor	Autoimmune diseases	279	D84.9, M35.9
TTDI01650	Receptor	Kidney transplant rejection	996.81	T86.1
TTDI01650	Receptor	Oral mucositis	528	K12.3
TTDI01652	Bone morphogenetic protein ligand	Renal disease	.	N00-N29
TTDI01653	Regulatory protein	Arthritis	710-719	M00-M25
TTDI01653	Regulatory protein	Autoimmune diseases	279	D84.9, M35.9
TTDI01653	Regulatory protein	Bone marrow transplantation	279.5, 996	D89.8, T86
TTDI01653	Regulatory protein	Cytomegalovirus infection	001-139, 078.5	A00-B99, B25
TTDI01653	Regulatory protein	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDI01653	Regulatory protein	Graft-versus host disease	.	T86.0
TTDI01653	Regulatory protein	HIV infections	001-139, 042	A00-B99, B20
TTDI01653	Regulatory protein	Melanoma	172.9	C43
TTDI01654	NAD-dehydrogenase	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01655	HPV antigens	Cervical cancer	140-229, 180	C00-C96, C53
TTDI01656	Surface antigen preferentially overexpressed on multiple myeloma (MM) cells	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
TTDI01657	Zinc-finger proteins (ZFP)	Acne vulgaris	706.1	L70.0
TTDI01658	G-protein-coupled receptor	Depression	311	F32
TTDI01660	Antigens on activated T-cells	Transplant rejection	279.5, 996	D89.8, T86
TTDI01661	Capsid-SP1 cleavage site in HIV Gag protein	HIV infections	001-139, 042	A00-B99, B20
TTDI01662	Sodium calcium channel	Epilepsy	290-319, 345	F01-F99, G40
TTDI01663	Synthetic multi-antigen DNA	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
TTDI01664	Interferon ligand	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
TTDI01664	Interferon ligand	Papillomavirus infections	.	B97.7
TTDI01665	Nucleoside DNA polymerase	Cytomegalovirus infection	001-139, 078.5	A00-B99, B25
TTDI01666	Ubiquitin-activating enzyme	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDI01667	Humanized IgG2	Sickle-cell disease	282.6	D57
TTDI01668	Immunoglobulin G1 (IgG1)	Influenza virus infections	487, 488	J10, J11
TTDI01669	Fibrolase	Peripheral vascular disease	443.9	I73.9
TTDI01670	Helicase-primase	Herpes simplex virus infection	54	B00
TTDI01671	Unspecified protease	Atopic dermatitis	691.8, 692.9	L20, L20-L30
TTDI01671	Unspecified protease	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01671	Unspecified protease	Cancer	140-229	C00-C96
TTDI01671	Unspecified protease	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDI01672	Unspecified hormone	Cancer	140-229	C00-C96
TTDI01672	Unspecified hormone	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDI01672	Unspecified hormone	Obesity	278	E66
TTDI01672	Unspecified hormone	Parkinson's disease	332	F02.3, G20
TTDI01672	Unspecified hormone	Premenstrual syndrome	.	N94.3
TTDI01672	Unspecified hormone	Under research	.	.
TTDI01673	17-beta-hydroxysteroid dehydrogenase	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
TTDI01674	Esterase	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01675	Glycosidase	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDI01675	Glycosidase	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDI01676	Viral envelope glycoprotein	HIV-1 infections	001-139, 042	A00-B99, B20
TTDI01676	Viral envelope glycoprotein	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
TTDI01676	Viral envelope glycoprotein	Metapneumovirus infection	.	J12.3
TTDI01677	Carbohydrate antigen Lewis Y	Cancer	140-229	C00-C96
TTDI01678	Phosphatase	Cancer	140-229	C00-C96
TTDI01679	Nuclear hormone receptor	Endocrine disease	.	E00-E35
TTDI01680	24-hydroxylase	Cancer	140-229	C00-C96
TTDI01681	Serum protein	Acquired hemolytic anemia	.	D59.9
TTDI01681	Serum protein	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01681	Serum protein	Asthma	493	J45
TTDI01681	Serum protein	Influenza virus infections	487, 488	J10, J11
TTDI01681	Serum protein	Kidney diseases	580-589	N00-N29
TTDI01681	Serum protein	Motor neurone disease	335.2	G12.2
TTDI01681	Serum protein	Spinal cord injuries	952	S14, S24, S34
TTDI01681	Serum protein	Under research	.	.
TTDI01682	Proteoglycanase	Arthritic	710-719	M00-M25
TTDI01683	Tuftsin receptor	Diagnosis	331	G30,I73.9
TTDI01684	Oxalate oxidase	Hyperoxaluria	.	E74.8
TTDI01685	Anthrax toxin	Anthrax	22	A22
TTDI01685	Anthrax toxin	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E08-E13, E10.4, E11.4, E13.4, G64, G90.0
TTDI01686	Inhibitor of apoptosis (IAP)	Autoimmune diseases	279	D84.9, M35.9
TTDI01686	Inhibitor of apoptosis (IAP)	Cancer	140-229	C00-C96
TTDI01687	Motoneuronotrophic factor	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01688	Tumor-associated peptide	Glioblastoma	140-199, 191, 208.9, 210-229	C00-C75, C71, C7A, C7B, C91-C95, D10-D36, D3A
TTDI01690	Allergen	Allergy	995.3	T78.4
TTDI01691	Phosphoric diester hydrolase	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
TTDI01691	Phosphoric diester hydrolase	Trypanosomiasis	086.5-086	B56-B57
TTDI01692	Deoxyribonuclease	Cancer	140-229	C00-C96
TTDI01692	Deoxyribonuclease	Cystic fibrosis	277.0, 709.2	E84, L90.5
TTDI01693	IgG2a	Cancer pain	140-229, 338,780	C00-C96, R52, G89
TTDI01694	Pseudomonas outer membrane protein	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01695	Major pollen antigen	Allergy	995.3	T78.4
TTDI01696	Protein of eimeria protozoan	Cancer	140-229	C00-C96
TTDI01697	Sphingomyelinase	Dermatitis	692.9	L20-L30
TTDI01697	Sphingomyelinase	Niemann-Pick disease	.	E75.249
TTDI01698	T-cell ligand	Multile sclerosis	.	G35
TTDI01699	Thymulin	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDI01701	Endopeptidase	Diarrhea	787.91	A09, K59.1
TTDI01701	Endopeptidase	Overactive bladder disorder	188, 596.51	C67, N32.81
TTDI01702	Major pollen allergen Bet-v-1	Allergy	995.3	T78.4
TTDI01703	Birch pollen allergen	Allergy	995.3	T78.4
TTDI01705	Pancreatic beta cell growth factor	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDI01705	Pancreatic beta cell growth factor	Insulin dependent diabetes	.	E10
TTDI01706	Galactosyltransferase	Atherosclerosis	414.0, 440	I70
TTDI01706	Galactosyltransferase	Breast cancer	174, 175, 217	C50, D24
TTDI01706	Galactosyltransferase	Hormone refractory prostate cancer	140-229, 185	C00-C96, C61
TTDI01706	Galactosyltransferase	Melanoma	172.9	C43
TTDI01706	Galactosyltransferase	Non-small-cell lung cancer	162, 183	C33, C34, C56
TTDI01707	Telomere	Cancer	140-229	C00-C96
TTDI01708	ATP binding cassette	Metabolic disorders	270-279	E70-E89
TTDI01708	ATP binding cassette	Toxicity	.	T36-T50,T51-T65
TTDI01709	Transporter	Toxicity	.	T36-T50,T51-T65
TTDI01710	p40	Psoriasis	696	L40
TTDI01713	Thrombospondin relate anonymous protein	Plasmodium infection	.	B54
TTDI01714	Bothrops atrox serine protease	Bleeding	444, 453	I74, I80-I82
TTDI01715	Mite allergen	Asthma	493	J45
TTDI01716	Inducing anti-tumor immune responses by human lymphocyte	Breast cancer	174, 175, 217	C50, D24
TTDI01717	L-type calcium channel	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDI01718	Hepatitis B structural protein	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
TTDI01719	Grass pollen allergen	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
TTDI01720	Antigens of many solid tumor types	Colorectal cancer	153, 154	C18-C21
TTDI01723	GDF	Metabolic disorders	270-279	E70-E89
TTDI01724	Interleukin receptor	Autoimmune diseases	279	D84.9, M35.9
TTDI01725	Unspecified transcription factor	Congestive heart failure	428, 428.0	I50
TTDI01725	Unspecified transcription factor	Hearing disorder	.	H90.5
TTDI01726	Laminin	Muscular dystrophy	.	G71.0
TTDI01727	Unspecified transporter protein	Cholesterol metabolism disorder	.	E70-E88
TTDI01727	Unspecified transporter protein	Toxicity	.	T36-T50,T51-T65
TTDI01728	Mas-related G-protein coupled receptor	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDI01729	Aspartic protease	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01730	EPH family tyrosine kinase	Cancer	140-229	C00-C96
TTDI01731	rhIgG1k	Sickle-cell disease	282.6	D57
TTDI01732	Transaminase	Obesity	278	E66
TTDI01733	Immunoglobulin gamma Fc receptor	Autoimmune diseases	279	D84.9, M35.9
TTDI01733	Immunoglobulin gamma Fc receptor	Cancer	140-229	C00-C96
TTDI01734	Alpha-secretase	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01735	Nuclease	Autoimmune diseases	279	D84.9, M35.9
TTDI01736	Unspecified cell adhesion molecule	Glioblastoma	140-199, 191, 208.9, 210-229	C00-C75, C71, C7A, C7B, C91-C95, D10-D36, D3A
TTDI01737	Unspecified regulatory protein	Cancer	140-229	C00-C96
TTDI01738	Viral protein	Influenza A virus infections	487, 488	J10, J11
TTDI01739	Zinc finger protein transcription factor	Age related macular degeneration	.	H35.30
TTDI01739	Zinc finger protein transcription factor	Cancer	140-229	C00-C96
TTDI01740	Fibroblast growth factor	Cancer	140-229	C00-C96
TTDI01740	Fibroblast growth factor	Skin burns	940-949	T20-T31
TTDI01741	Folate binding protein-E39	Endometrial cancer	140-229, 182.0, 183	C00-C96, C54.1, C56
TTDI01742	Bacteria topoisomerase	Acquired immune deficiency syndrome	42	B20
TTDI01743	5-HT 2 receptor	Aggressive non-Hodgkin's lymphoma	200, 201, 202, 202.8, 208.9	C81, C81-C96, C82-C85, C91-C95
TTDI01743	5-HT 2 receptor	Anxiety disorder	300, 311	F32, F40-F42
TTDI01743	5-HT 2 receptor	Arthritis	710-719	M00-M25
TTDI01743	5-HT 2 receptor	Cerebrovascular ischaemia	434.91	I61-I63
TTDI01743	5-HT 2 receptor	Depression	311	F32
TTDI01743	5-HT 2 receptor	Gastrointestinal disease	.	K00-K93
TTDI01743	5-HT 2 receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDI01743	5-HT 2 receptor	Migraine	346	G43
TTDI01743	5-HT 2 receptor	Non-small cell lung cancer	140-229, 162, 204.0	C00-C96, C33-C34, C91.0
TTDI01743	5-HT 2 receptor	Pancreatitis	577.0-577.1	K85, K86.0K86.1
TTDI01743	5-HT 2 receptor	Peripheral vascular disease	443.9	I73.9
TTDI01743	5-HT 2 receptor	Psychotic disorders	290-299	F20-F29
TTDI01743	5-HT 2 receptor	Schizophrenia	295, 710.0	F20, M32
TTDI01743	5-HT 2 receptor	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
TTDI01746	Interleukin-12 ligand	Breast cancer	174, 175, 217	C50, D24
TTDI01746	Interleukin-12 ligand	Cancer	140-229	C00-C96
TTDI01746	Interleukin-12 ligand	Cutaneous T-cell lymphoma	202.1, 202.2, 202.8, 208.9	C81-C96, C84.0, C84.1, C91-C95
TTDI01746	Interleukin-12 ligand	Head and neck cancer	140-149, 140-229	C00-C96, C07-C14, C32-C33
TTDI01746	Interleukin-12 ligand	Malignant melanoma	172, 208.9	C43, C91-C95
TTDI01746	Interleukin-12 ligand	Prostate tumor	185	C61
TTDI01747	VEGF ligand	Age-related macular degeneration	362.5	H35.3
TTDI01747	VEGF ligand	Cancer	140-229	C00-C96
TTDI01747	VEGF ligand	Macular degeneration	362.5	H35.3
TTDI01748	JAK tyrosine kinase	Ankylosing spondylitis	720	M08.1, M45
TTDI01748	JAK tyrosine kinase	Non-Hodgkin's lymphoma	200, 202, 202.8	C81-C96, C82-C85
TTDI01749	Muscarinic receptor	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
TTDI01749	Muscarinic receptor	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01749	Muscarinic receptor	Amnesia	.	F04
TTDI01749	Muscarinic receptor	Asthma	493	J45
TTDI01749	Muscarinic receptor	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDI01749	Muscarinic receptor	Cognition disorders	295	F20
TTDI01749	Muscarinic receptor	Glaucoma	365	H40-H42
TTDI01749	Muscarinic receptor	Interstitial cystitis	.	N30.1
TTDI01749	Muscarinic receptor	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
TTDI01749	Muscarinic receptor	Neurodegenerative diseases	330-337	G30-G32
TTDI01749	Muscarinic receptor	Overactive bladder disorder	188, 596.51	C67, N32.81
TTDI01749	Muscarinic receptor	Peptic ulcer	531-534	K25-K27
TTDI01749	Muscarinic receptor	Pollakiuria	.	R35
TTDI01749	Muscarinic receptor	Urinary incontinence	788.3	N39.3, N39.4, R32
TTDI01749	Muscarinic receptor	Xerostomia	527.7	K11.7, R68.2
TTDI01750	Alpha 2 adrenoceptor	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01750	Alpha 2 adrenoceptor	Anxiety disorder	300, 311	F32, F40-F42
TTDI01750	Alpha 2 adrenoceptor	Asthma	493	J45
TTDI01750	Alpha 2 adrenoceptor	Attention deficit hyperactivity disorder	314.00, 314.01	F90
TTDI01750	Alpha 2 adrenoceptor	Depression	311	F32
TTDI01750	Alpha 2 adrenoceptor	Diabetes	250	E08-E13
TTDI01750	Alpha 2 adrenoceptor	Glaucoma	365	H40-H42
TTDI01750	Alpha 2 adrenoceptor	Heart failure	410, 428	I21, I22, I50
TTDI01750	Alpha 2 adrenoceptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDI01750	Alpha 2 adrenoceptor	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
TTDI01750	Alpha 2 adrenoceptor	Male sexual disorders	.	F52
TTDI01750	Alpha 2 adrenoceptor	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
TTDI01750	Alpha 2 adrenoceptor	Ocular hypertension	365.04	H40.0
TTDI01750	Alpha 2 adrenoceptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDI01750	Alpha 2 adrenoceptor	Peptic ulcer	531-534	K25-K27
TTDI01750	Alpha 2 adrenoceptor	Poison intoxication	.	T36-T50
TTDI01750	Alpha 2 adrenoceptor	Prostate disease	.	N42.9
TTDI01750	Alpha 2 adrenoceptor	Prostate disorder	.	N40-N42
TTDI01751	Angiotensin II receptor	Anemia	280-285	D50-D64
TTDI01751	Angiotensin II receptor	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDI01751	Angiotensin II receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDI01752	Nicotinic ACh receptor	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01752	Nicotinic ACh receptor	Anesthesia	338	R52
TTDI01752	Nicotinic ACh receptor	Asthma	493	J45
TTDI01752	Nicotinic ACh receptor	Attention deficit hyperactivity disorder	314.00, 314.01	F90
TTDI01752	Nicotinic ACh receptor	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
TTDI01752	Nicotinic ACh receptor	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E08-E13, E10.4, E11.4, E13.4, G64, G90.0
TTDI01752	Nicotinic ACh receptor	HIV infections	001-139, 042	A00-B99, B20
TTDI01752	Nicotinic ACh receptor	Muscle spasm	.	M62.838
TTDI01752	Nicotinic ACh receptor	Nicotine dependence	305.1	F17
TTDI01752	Nicotinic ACh receptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDI01752	Nicotinic ACh receptor	Parkinson's disease	332	F02.3, G20
TTDI01752	Nicotinic ACh receptor	Pollakiuria	.	R35
TTDI01753	Acetyl CoA carboxylase	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01753	Acetyl CoA carboxylase	Fungal infection	110-118	B35-B49
TTDI01753	Acetyl CoA carboxylase	Metabolic disorders	270-279	E70-E89
TTDI01753	Acetyl CoA carboxylase	Obesity	278	E66
TTDI01753	Acetyl CoA carboxylase	Parkinson's disease	332	F02.3, G20
TTDI01753	Acetyl CoA carboxylase	Sebaceous gland disease	.	L73.8
TTDI01754	Plasminogen activator inhibitor	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDI01754	Plasminogen activator inhibitor	Atherosclerosis	414.0, 440	I70
TTDI01754	Plasminogen activator inhibitor	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
TTDI01754	Plasminogen activator inhibitor	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
TTDI01755	Acetylcholine receptor	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
TTDI01755	Acetylcholine receptor	Brain diseases	.	G00-G99
TTDI01755	Acetylcholine receptor	Central and peripheral nervous diseases	.	G96.9
TTDI01755	Acetylcholine receptor	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDI01755	Acetylcholine receptor	Cognition disorders	295	F20
TTDI01755	Acetylcholine receptor	Colitis	556.9	K50-K52
TTDI01755	Acetylcholine receptor	Dysmenorrhea	625.3	N94.4-N94.6
TTDI01755	Acetylcholine receptor	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
TTDI01755	Acetylcholine receptor	Myasthenia gravis	358	G70.0
TTDI01755	Acetylcholine receptor	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
TTDI01755	Acetylcholine receptor	Stomach ulcer	.	K25-K27
TTDI01755	Acetylcholine receptor	Under research	.	.
TTDI01755	Acetylcholine receptor	Urinary incontinence	788.3	N39.3, N39.4, R32
TTDI01756	Beta adrenoceptor	Angina	413	I20
TTDI01756	Beta adrenoceptor	Asthma	493	J45
TTDI01756	Beta adrenoceptor	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J45, J47
TTDI01756	Beta adrenoceptor	Diabetes	250	E08-E13
